participant_id,trial_index,global_field_power,delta_power,theta_power,alpha_power,beta_power
sub-03,36,19.450216574858867,2.563495876262033e-12,6.009862659465602e-13,2.7955687912451265e-13,1.0042343730337775e-13
sub-03,37,20.723308110324325,2.2107844580114883e-12,7.537333660339089e-13,1.4963641786132357e-12,2.4795277375287483e-13
sub-03,38,26.34650082380013,1.6066881944439674e-12,4.121261653070266e-13,5.973346495801572e-13,2.181900118903282e-13
sub-03,39,33.077993073037185,1.308647171924569e-12,4.5082711674157494e-13,7.235278114486183e-13,2.2101679357979261e-13
sub-03,40,19.598929284584433,1.9909537448678074e-12,5.591519840041512e-13,2.528622412096736e-12,2.094582347108786e-13
sub-03,41,16.857677266316376,2.594299211055562e-12,5.352816910965492e-13,5.654778788756867e-13,2.59466693373463e-13
sub-03,42,22.457600927550573,1.965237156886702e-12,4.883385418634082e-13,5.969529856966527e-13,1.8349462749688845e-13
sub-03,43,19.971540173715383,1.510773519596272e-12,4.731600925839451e-13,4.077965030984508e-13,1.8275201353819844e-13
sub-03,44,20.51308414117411,8.751756711230739e-13,2.8927881201925395e-13,5.398532936272036e-13,1.7788706334943056e-13
sub-03,45,22.737119083750667,1.6280609833153442e-12,6.781438599142906e-13,1.0842580727237538e-12,2.7549681442212143e-13
sub-03,46,30.488073711140768,1.1368762622889213e-12,6.153284681831753e-13,1.7800870903632963e-12,1.4106254506934332e-13
sub-03,47,23.51029679489024,1.388427624434622e-12,2.922129904265657e-13,1.0398234109278145e-12,1.6687908945256857e-13
sub-03,48,19.376304769288037,1.0452506329402177e-12,4.921250149622184e-13,4.77734863176784e-13,1.8412988440640876e-13
sub-03,49,37.20836438185063,1.5363340996268982e-12,4.63337512144601e-13,4.993757936302659e-13,2.0491915285326202e-13
sub-03,50,31.48800160943972,1.417915866232039e-12,4.592781427232081e-13,1.599371659001137e-12,2.2225139696849853e-13
sub-03,51,106.45319667701696,3.1229661055913594e-12,5.123786455665552e-13,4.1446922680636743e-13,1.764350461304383e-13
sub-03,52,40.746825536410206,1.1444580450266677e-12,3.891121734338676e-13,1.0844820809771494e-12,2.0359972125414327e-13
sub-03,53,46.73591014361644,7.61663141752717e-13,5.021593663592606e-13,8.392014584059612e-13,1.855992587833577e-13
sub-03,54,28.63546831818635,1.0210968357009403e-12,2.638507330145891e-13,4.667592475804647e-13,3.174457714102917e-13
sub-03,55,24.917523677857616,1.2292402152158067e-12,5.597840583081063e-13,2.3006787235734878e-12,3.40925045017254e-13
sub-03,56,19.70916052383525,6.573212830640118e-13,5.391977076437265e-13,1.3011385606658613e-12,1.4736290356612562e-13
sub-03,57,17.807330670394823,7.359412920363813e-13,3.848273273789517e-13,3.3584088442243323e-12,2.3529368999808425e-13
sub-03,58,19.44982511080984,1.0297782744957792e-12,6.831740056276481e-13,1.1088626239668782e-12,1.9489943362492362e-13
sub-03,59,19.995226350083406,1.557184892513824e-12,8.096622444210128e-13,1.5781002420979039e-12,2.1871080575867594e-13
sub-03,60,20.857513212832455,8.299403637828048e-13,3.678661012885904e-13,1.1316955146129468e-12,1.4026738978572626e-13
sub-03,61,35.48637114040366,1.5898331980940815e-12,8.518660415019501e-13,2.0816972175232347e-12,3.8119568960792087e-13
sub-03,62,21.03488453835072,1.4843033914466744e-12,5.873506656595838e-13,1.3839698702556035e-12,2.247671154818425e-13
sub-03,63,19.49052997243066,2.5093822321108844e-12,6.423445090209474e-13,1.6969785383798434e-12,1.6178805406644457e-13
sub-03,64,24.477402299527036,1.2749692363936352e-12,5.570481288626423e-13,9.798186670261609e-13,1.411974835603565e-13
sub-03,65,20.569259327306458,1.0831864604004594e-12,8.032471456960401e-13,1.246580221909925e-12,2.532195683769342e-13
sub-03,66,15.547922946142908,9.876181847217685e-13,8.357795719652626e-13,9.717466461120486e-13,2.901241795149951e-13
sub-03,67,19.561956492385157,1.053515623387442e-12,4.472559092036405e-13,6.331440516917014e-13,1.7631699385286908e-13
sub-03,68,21.88543510860149,9.67470008723173e-13,4.881025047599294e-13,4.078335626025943e-13,1.797088895736329e-13
sub-03,69,20.74623864913863,1.0004003683219565e-12,6.216423375512427e-13,1.1214644027440328e-12,1.9769900891691515e-13
sub-03,70,24.836033792760734,9.51099353417901e-13,6.831499346528804e-13,1.980610790600093e-12,2.0938814503639045e-13
sub-03,71,24.498838565625622,6.422796463318721e-13,5.151784341932081e-13,1.8446947146575376e-12,2.131413399611291e-13
sub-03,72,24.128276568761287,1.2671427266576574e-12,4.744923054443488e-13,9.13912128621745e-13,3.658374161943996e-13
sub-03,73,19.758657455567764,8.408466590794234e-13,5.948046021091314e-13,2.239578129785376e-12,2.0629306855086786e-13
sub-03,74,17.44678613306988,1.3233189285944221e-12,5.247161336587338e-13,6.890186746342921e-13,2.3508460550541656e-13
sub-03,75,17.672828306129645,1.4969650358441155e-12,6.613275883366982e-13,1.315177550896325e-12,2.28809796449291e-13
